date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:56	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:37:56%20GMT	https://nrjac16.wixsite.com/mysite/b604fd33.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/b604fd33.min.css	(from https://nrjac16.wixsite.com/mysite)
14:37:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:37:57%20GMT	https://nrjac16.wixsite.com/mysite/48c6d58d.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/48c6d58d.min.css	(from https://nrjac16.wixsite.com/mysite)
14:37:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:37:58%20GMT	https://nrjac16.wixsite.com/mysite/439c90c8.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/439c90c8.min.css	(from https://nrjac16.wixsite.com/mysite)
14:37:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:37:59%20GMT	https://nrjac16.wixsite.com/mysite/cd69f57c.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/cd69f57c.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:00	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:00%20GMT	https://nrjac16.wixsite.com/mysite/bc223d50.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/bc223d50.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:01	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:01%20GMT	https://nrjac16.wixsite.com/mysite/bc2466c0.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/bc2466c0.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:02	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:02%20GMT	https://nrjac16.wixsite.com/mysite/5d7b6bbf.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/5d7b6bbf.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:03	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:03%20GMT	https://nrjac16.wixsite.com/mysite/3fdab364.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/3fdab364.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:04	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:04%20GMT	https://nrjac16.wixsite.com/mysite/20d93486.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/20d93486.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:05	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:05%20GMT	https://nrjac16.wixsite.com/mysite/9692b4a8.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/9692b4a8.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:06	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:06%20GMT	https://nrjac16.wixsite.com/mysite/914012ea.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/914012ea.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:07	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:07%20GMT	https://nrjac16.wixsite.com/mysite/ffa0eb8f.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/ffa0eb8f.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:08	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:08%20GMT	https://nrjac16.wixsite.com/mysite/fe8be6d6.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/fe8be6d6.min.css	(from https://nrjac16.wixsite.com/mysite)
